Name,Code,Type,DrainageArea,SubBasin,City,State,Responsible,Latitude,Longitude,StartDate,EndDate,NYD,MD,N_YWOMD,YWMD
PORTO CONCEIÇÃO,66120000,1,64000,66,CÁCERES,MATO GROSSO,ANA,-17.1433,-57.3594,1967/12/18,2019/09/30,53,18.8,35,34.0
PERTO DE BELA VISTA DO NORTE,66126000,1,2270,66,CORUMBÁ,MATO GROSSO DO SUL,DNOS,-17.5181,-57.7906,1968/10/10,1972/12/31,5,0.0,4,20.0
MARZAGÃO,66140000,1,2320,66,NOBRES,MATO GROSSO,ANA,-14.5417,-55.8489,1979/07/09,2019/07/31,41,9.4,28,31.7
QUEBÓ GRANDE,66150000,1,80,66,NOBRES,MATO GROSSO,ANA,-14.4625,-55.99,1967/11/09,1971/12/31,5,0.0,4,20.0
QUEBÓ PEQUENO,66155000,1,281,66,NOBRES,MATO GROSSO,ANA,-14.6164,-56.075,1968/04/26,1971/12/31,4,0.0,3,25.0
QUEBÓ,66160000,1,4260,66,NOBRES,MATO GROSSO,FURNAS,-14.6536,-56.1322,1972/08/07,2016/12/31,45,5.5,38,15.6
UHE MANSO MONTANTE,66162000,1,2580,66,CHAPADA DOS GUIMARÃ,MATO GROSSO,CONS.MANSO,-14.81,-55.2761,2000/01/01,2016/12/31,17,5.9,12,29.4
PONTE DO RIO MANSO F1,66163000,1,3350,66,CHAPADA DOS GUIMARÃ,MATO GROSSO,ANA,-14.85,-55.5333,1982/09/01,1990/12/22,9,0.0,7,22.2
PONTE ALTA,66170000,1,57,66,CUIABÁ,MATO GROSSO,CEMAT,-15.4244,-55.2906,1965/04/01,1968/09/30,4,0.0,2,50.0
UHE MANSO RIO CASCA,66171400,1,1210,66,CHAPADA DOS GUIMARÃ,MATO GROSSO,CONS.MANSO,-15.1411,-55.4981,2008/10/04,2016/12/31,9,25.0,4,55.6
UHE MANSO RIO RONCADOR,66171500,1,1360,66,CHAPADA DOS GUIMARÃ,MATO GROSSO,CONS.MANSO,-15.0919,-55.4417,1999/11/10,2016/12/31,18,0.0,17,5.6
PONTE DO RIO CASCA MAN-F2,66173000,1,2900,66,CHAPADA DOS GUIMARÃ,MATO GROSSO,ANA,-15.0225,-55.55,1982/08/13,1999/12/31,18,6.5,15,16.7
UHE MANSO RIO QUILOMBO,66174000,1,693,66,CHAPADA DOS GUIMARÃ,MATO GROSSO,CONS.MANSO,-15.2136,-55.6411,1987/02/18,2016/12/31,30,28.2,19,36.7
PASSAGEM DO MAMÃO MAN-F3,66175000,1,1240,66,CHAPADA DOS GUIMARÃ,MATO GROSSO,ANA,-15.1133,-55.6775,1982/08/12,1999/12/31,18,14.5,8,55.6
MONTANTE DA BARRA,66200000,1,5000,66,CHAPADA DOS GUIMARÃ,MATO GROSSO,ANA,-14.9367,-55.7656,1972/07/26,1999/09/30,28,15.7,14,50.0
FAZENDA TAPERÃO MAN-F5,66201000,1,5010,66,CHAPADA DOS GUIMARÃ,MATO GROSSO,ANA,-14.9369,-55.7664,1972/07/26,1990/12/31,19,9.2,14,26.3
UHE MANSO JUSANTE,66210000,1,9370,66,CHAPADA DOS GUIMARÃ,MATO GROSSO,CONS.MANSO,-14.8675,-55.8003,1982/08/07,1990/12/31,9,0.0,8,11.1
FAZENDA RAIZAMA (COIMBRA) - F6,66231000,1,9580,66,CHAPADA DOS GUIMARÃ,MATO GROSSO,ANA,-14.845,-55.8556,1981/07/12,2019/06/30,39,5.4,33,15.4
PORTO DE CIMA,66240000,1,9540,66,CHAPADA DOS GUIMARÃ,MATO GROSSO,ANA,-14.8569,-55.8439,1972/07/23,1979/08/19,8,5.8,6,25.0
UHE MANSO BARRAMENTO,66240080,1,3350,66,CHAPADA DOS GUIMARÃ,MATO GROSSO,CONS.MANSO,-14.8714,-55.7847,2001/03/01,2015/06/29,15,0.1,12,20.0
NOBRES,66245000,1,369,66,NOBRES,MATO GROSSO,ANA,-14.7333,-56.3333,1967/11/08,1972/01/17,6,12.0,3,50.0
ROSÁRIO OESTE,66250001,1,16000,66,ROSÁRIO OESTE,MATO GROSSO,FURNAS,-14.8342,-56.4139,1966/01/01,2016/12/31,51,6.0,44,13.7
ACORIZAL,66255000,1,19700,66,ACORIZAL,MATO GROSSO,FURNAS,-15.2039,-56.3669,1965/12/27,2016/12/31,52,4.7,48,7.7
CUIABÁ,66260001,1,23500,66,CUIABÁ,MATO GROSSO,FURNAS,-15.6156,-56.1086,1933/01/01,2016/12/31,84,4.5,77,8.3
CUIABÁ,66260002,1,22800,66,CUIABÁ,MATO GROSSO,ANA,-15.5825,-56.1342,1977/01/01,1992/03/31,16,12.0,9,43.8
BARÃO DE MELGAÇO,66280000,1,28900,66,BARÃO DE MELGAÇO,MATO GROSSO,ANA,-16.1928,-55.9669,1966/12/02,2019/06/30,54,4.9,46,14.8
PORTO CERCADO (Ex-Retiro Biguaçal),66340000,1,36900,66,POCONÉ,MATO GROSSO,ANA,-16.5119,-56.3756,1969/11/24,2019/07/31,51,7.3,41,19.6
SÃO ROQUE,66350000,1,37000,66,BARÃO DE MELGAÇO,MATO GROSSO,ANA,-16.6333,-56.4667,1967/11/29,1984/09/30,18,0.0,16,11.1
SÃO JOÃO,66360000,1,38500,66,POCONÉ,MATO GROSSO,ANA,-16.9444,-56.6328,1970/05/02,2019/07/31,50,10.5,40,20.0
ILHA CAMARGO,66370000,1,39000,66,BARÃO DE MELGAÇO,MATO GROSSO,ANA,-17.0564,-56.5806,1968/02/17,2019/07/31,52,4.5,44,15.4
SÃO PEDRO DA CIPA,66380000,1,3240,66,SÃO PEDRO DA CIPA,MATO GROSSO,ANA,-15.9981,-54.9217,1966/06/28,2019/08/31,54,3.8,47,13.0
JACIARA,66390000,1,853,66,JACIARA,MATO GROSSO,ANA,-15.9833,-54.9333,1966/06/27,1971/11/30,6,0.0,4,33.3
SÃO LOURENÇO DE FÁTIMA,66400000,1,6990,66,JUSCIMEIRA,MATO GROSSO,ANA,-16.3108,-54.9228,1965/04/11,2019/08/31,55,5.7,45,18.2
JARUDORE,66430000,1,3780,66,POXORÉO,MATO GROSSO,ANA,-16.1969,-54.3003,1987/10/24,2019/08/31,33,4.2,26,21.2
PEDRA PRETA,66440000,1,2180,66,RONDONÓPOLIS,MATO GROSSO,ANA,-16.6067,-54.4586,1979/06/26,2018/12/05,40,7.5,30,25.0
RONDONÓPOLIS,66450001,1,12300,66,RONDONÓPOLIS,MATO GROSSO,ANA,-16.4789,-54.6506,1965/11/24,2019/08/31,55,5.9,46,16.4
PONTE DE PEDRA,66455000,1,1750,66,RONDONÓPOLIS,MATO GROSSO,ANA,-16.6525,-54.7292,1979/07/06,2006/07/31,28,37.1,13,53.6
ACIMA DO CÓRREGO GRANDE,66460000,1,23000,66,SANTO ANTÔNIO DO LE,MATO GROSSO,ANA,-16.6081,-55.2064,1969/10/23,2019/08/31,51,7.8,43,15.7
COLÔNIA SANTA IZABEL,66465000,1,23900,66,BARÃO DE MELGAÇO,MATO GROSSO,ANA,-16.6897,-55.9958,1971/09/04,1981/03/31,11,0.0,9,18.2
SÃO JOSÉ DO BORIRÉU,66470000,1,24100,66,BARÃO DE MELGAÇO,MATO GROSSO,ANA,-16.9253,-56.2236,1968/10/18,2019/07/31,52,12.0,42,19.2
PIQUIRI,66475000,1,927,66,PEDRO GOMES,MATO GROSSO DO SUL,ANA,-17.9381,-54.5958,1971/08/15,1977/05/14,7,0.4,5,28.6
ESTRADA BR-163,66480000,1,2660,66,COXIM,MATO GROSSO DO SUL,ANA,-17.8892,-55.0036,1969/06/01,1994/12/31,26,25.7,13,50.0
UHE PONTE DE PEDRA BARRAMENTO,66489000,1,3997,66,ITIQUIRA,MATO GROSSO,ENGIE,-17.6075,-54.8272,2005/09/01,2015/06/29,11,0.3,7,36.4
ESTRADA BR-163,66490000,1,3970,66,ITIQUIRA,MATO GROSSO,ANA,-17.6108,-54.8325,1969/06/09,2005/06/10,37,11.4,24,35.1
ITIQUIRA,66520000,1,2920,66,ITIQUIRA,MATO GROSSO,ANA,-17.2078,-54.1511,1971/06/02,2019/08/31,49,3.0,44,10.2
UHE ITIQUIRA MONTANTE,66522000,1,5280,66,ITIQUIRA,MATO GROSSO,ITISA,-17.1386,-54.8192,2003/11/09,2012/12/31,10,18.9,0,100.0
UHE ITIQUIRA BARRAMENTO,66523000,1,5230,66,ITIQUIRA,MATO GROSSO,ITISA,-17.0908,-54.8311,2003/07/01,2015/06/29,13,0.1,8,38.5
ESTRADA BR-163,66525000,1,5240,66,ITIQUIRA,MATO GROSSO,ANA,-17.1342,-54.8183,1969/08/14,1981/12/31,13,0.0,12,7.7
UHE ITIQUIRA JUSANTE,66525100,1,4910,66,ITIQUIRA,MATO GROSSO,ITISA,-17.0953,-54.9361,2004/03/19,2012/12/31,9,34.1,1,88.9
SÃO JERÔNIMO,66600000,1,23300,66,BARÃO DE MELGAÇO,MATO GROSSO,ANA,-17.2017,-56.0086,1967/12/25,2019/07/31,53,9.3,43,18.9
SÃO JOSÉ DO PIQUIRI,66650000,1,30000,66,BARÃO DE MELGAÇO,MATO GROSSO,ANA,-17.2917,-56.3872,1969/01/18,2019/07/31,51,15.8,29,43.1
POUSADA TAIAMÃ  (Ex-Porto Jofre),66710000,1,95200,66,POCONÉ,MATO GROSSO,ANA,-17.3656,-56.7747,1997/06/23,2019/07/31,23,0.3,19,17.4
PORTO DO ALEGRE,66750000,1,103000,66,CORUMBÁ,MATO GROSSO DO SUL,ANA,-17.6233,-56.965,1967/11/20,2019/07/31,53,7.4,47,11.3
AMOLAR,66800000,1,234000,66,CORUMBÁ,MATO GROSSO DO SUL,ANA,-18.0386,-57.4886,1967/11/16,2019/06/30,53,11.1,41,22.6
SÃO FRANCISCO,66810000,1,243000,66,CORUMBÁ,MATO GROSSO DO SUL,ANA,-18.3939,-57.3911,1967/11/13,2019/06/30,53,5.6,47,11.3
LADÁRIO (BASE NAVAL),66825000,1,253000,66,LADÁRIO,MATO GROSSO DO SUL,ANA,-19.0017,-57.5942,1964/01/01,1973/12/31,10,0.0,10,0.0
PERTO DE PEDRO GOMES,66840000,1,9710,66,PEDRO GOMES,MATO GROSSO DO SUL,ANA,-18.1608,-54.4689,1969/05/07,1994/11/15,26,39.5,13,50.0
PEDRO GOMES,66845000,1,9730,66,COXIM,MATO GROSSO DO SUL,ANA,-18.1672,-54.4708,1984/01/01,2019/06/30,36,1.0,33,8.3
CONFLUÊNCIA  RIO JAURU,66849000,1,7380,66,RIO VERDE DE MATO G,MATO GROSSO DO SUL,ANA,-18.7303,-54.5786,1994/02/01,2019/06/30,26,3.6,19,26.9
CONTRAVERTENTE,66850000,1,6320,66,CAMAPUÃ,MATO GROSSO DO SUL,ANA,-18.7244,-54.5297,1970/10/29,2019/06/30,50,31.6,29,42.0
GARIMPAGEM,66855000,1,6330,66,COXIM,MATO GROSSO DO SUL,ANA,-18.7136,-54.5672,1984/08/26,2019/01/31,36,11.0,24,33.3
SÃO GABRIEL DO OESTE,66860000,1,562,66,CAMAPUÃ,MATO GROSSO DO SUL,ANA,-19.4103,-54.48,1983/01/01,1993/09/30,11,25.2,3,72.7
PCH PONTE ALTA JUSANTE,66861000,1,601,66,SÃO GABRIEL DO OEST,MATO GROSSO DO SUL,PONTE ALTA,-19.4133,-54.4589,2009/04/17,2010/05/31,2,0.0,0,100.0
PRÓXIMO RIO VERDE,66865000,1,498,66,RIO VERDE DE MATO G,MATO GROSSO DO SUL,ANA,-18.8992,-54.8094,1984/01/16,2018/08/30,35,21.5,9,74.3
COXIM,66870000,1,27600,66,COXIM,MATO GROSSO DO SUL,ANA,-18.5078,-54.7619,1966/01/02,2019/06/30,54,3.7,48,11.1
SÃO GONÇALO,66880000,1,29000,66,CORUMBÁ,MATO GROSSO DO SUL,ANA,-18.2597,-55.9706,1969/10/28,1978/12/31,10,0.0,9,10.0
PORTO ROLOM,66885000,1,31200,66,CORUMBÁ,MATO GROSSO DO SUL,ANA,-18.3042,-56.1728,1968/08/22,1993/12/31,26,20.0,17,34.6
PERTO DA BOCAINA,66886000,1,2840,66,ANASTÁCIO,MATO GROSSO DO SUL,ANA,-19.3183,-55.1742,1979/06/16,1994/11/30,16,64.2,3,81.2
PRÓXIMO PERDIGÃO,66888200,1,409,66,RIO VERDE DE MATO G,MATO GROSSO DO SUL,ANA,-19.2508,-55.0081,1983/01/25,1995/03/31,13,19.4,7,46.2
FAZENDA RIO NEGRO,66890000,1,17900,66,ANASTÁCIO,MATO GROSSO DO SUL,ANA,-19.5922,-56.2222,1968/11/26,1986/01/21,19,34.7,7,63.2
PORTO DA MANGA,66895000,1,327000,66,LADÁRIO,MATO GROSSO DO SUL,ANA,-19.2583,-57.2353,1969/05/24,2019/06/30,51,11.9,38,25.5
ESTRADA MT-738,66900000,1,11600,66,BONITO,MATO GROSSO DO SUL,ANA,-20.7619,-56.0911,1969/10/30,2019/07/31,51,8.1,41,19.6
MIRANDA,66910000,1,15000,66,MIRANDA,MATO GROSSO DO SUL,ANA,-20.2408,-56.3992,1965/10/27,2019/06/30,55,5.5,44,20.0
TIÇÃO DE FOGO,66920000,1,18500,66,MIRANDA,MATO GROSSO DO SUL,ANA,-19.9239,-56.8039,1968/10/01,1988/09/06,21,10.5,12,42.9
PRÓXIMO A BANDEIRANTES,66923000,1,76,66,BANDEIRANTES,MATO GROSSO DO SUL,ANA,-19.8742,-54.4378,1982/03/26,2017/05/31,36,17.0,11,69.4
PONTE DO GREGO,66926000,1,6330,66,TERENOS,MATO GROSSO DO SUL,ANA,-20.1558,-55.09,1982/01/02,2019/08/31,38,0.4,35,7.9
PALMEIRAS,66941000,1,10900,66,DOIS IRMÃOS DO BURI,MATO GROSSO DO SUL,ANA,-20.4481,-55.4281,1965/04/13,2019/07/31,55,10.2,44,20.0
AQUIDAUANA,66945000,1,15700,66,AQUIDAUANA,MATO GROSSO DO SUL,ANA,-20.4783,-55.8014,1968/01/13,2019/10/31,52,4.5,45,13.5
PORTO CIRIACO,66950000,1,17200,66,ANASTÁCIO,MATO GROSSO DO SUL,ANA,-19.6986,-56.2811,1968/11/07,2019/06/30,52,15.8,36,30.8
PORTO ESPERANÇA,66960008,1,371000,66,CORUMBÁ,MATO GROSSO DO SUL,ANA,-19.6006,-57.4372,1963/12/19,2014/11/30,52,0.0,50,3.8
FORTE COIMBRA,66970000,1,372000,66,CORUMBÁ,MATO GROSSO DO SUL,ANA,-19.9203,-57.7917,1969/01/01,1981/11/30,13,0.0,12,7.7
BAIA NEGRA,67006000,1,516000,67,CORUMBÁ,MATO GROSSO DO SUL,ANA,-20.2294,-58.1667,1976/09/01,1996/12/31,21,24.7,14,33.3
RETIRO ALEGRIA,67025000,1,938,67,PORTO MURTINHO,MATO GROSSO DO SUL,ANA,-21.2017,-57.1853,1970/10/14,1996/12/31,27,24.1,19,29.6
BARRANCO BRANCO,67030000,1,546000,67,PORTO MURTINHO,MATO GROSSO DO SUL,ANA,-21.0986,-57.8442,1965/06/01,2014/12/29,50,0.0,48,4.0
FECHO DOS MORROS,67050000,1,565000,67,PORTO MURTINHO,MATO GROSSO DO SUL,ANA,-21.4361,-57.9189,1965/11/03,1985/02/28,21,10.4,16,23.8
PORTO MURTINHO,67100000,1,576000,67,PORTO MURTINHO,MATO GROSSO DO SUL,ANA,-21.7003,-57.8911,1939/01/01,2019/07/31,81,2.1,76,6.2
SÃO CARLOS,67170000,1,10200,67,CARACOL,MATO GROSSO DO SUL,ANA,-22.2236,-57.3039,1971/09/11,2019/07/31,49,6.6,35,28.6
BAIA GRANDE,67175000,1,2610,67,PORTO MURTINHO,MATO GROSSO DO SUL,ANA,-21.9411,-57.2547,1972/08/01,1995/12/31,24,14.0,19,20.8
FAZENDA ESPERANÇA,67176000,1,2930,67,PORTO MURTINHO,MATO GROSSO DO SUL,ANA,-21.9697,-57.3772,1996/09/06,2019/07/31,24,2.9,18,25.0
PUERTO PILCOMAYO (CLORINDA),67645000,1,786000,67,ARGENTINA,ARGENTINA,ARGENTINA,-25.3667,-57.65,2012/10/01,2020/03/18,9,4.4,1,88.9
CORRIENTES (408-MOSP),68100000,1,1.95e+006,68,ARGENTINA,ARGENTINA,ARGENTINA,-27.45,-58.85,1901/01/01,2020/03/18,120,4.5,98,18.3
DESPRAIADO,70100000,1,533,70,BOM JARDIM DA SERRA,SANTA CATARINA,ANA,-28.3694,-49.8025,1976/04/21,2019/12/31,44,1.3,36,18.2
UHE BARRA GRANDE PASSO DO HONORATO,70150000,1,6160,70,BOM JESUS,RIO GRANDE DO SUL,BAESA,-28.3944,-50.5756,2005/12/01,2012/12/31,8,9.6,2,75.0
INVERNADA VELHA,70200000,1,2820,70,BOM JESUS,RIO GRANDE DO SUL,ANA,-28.4394,-50.3019,1964/06/08,2019/12/31,56,1.2,46,17.9
FAZENDA MINEIRA,70300000,1,1170,70,SÃO JOAQUIM,SANTA CATARINA,ANA,-28.09,-50.0611,1942/03/15,2019/12/31,78,0.6,74,5.1
PASSO DA CADÉIA,70350000,1,2320,70,SÃO JOAQUIM,SANTA CATARINA,ANA,-28.35,-50.3167,1976/02/07,1981/09/30,6,6.7,3,50.0
COXILHA RICA,70500000,1,550,70,LAGES,SANTA CATARINA,ANA,-28.1614,-50.4428,1944/10/25,2019/12/31,76,1.1,71,6.6
UHE BARRA GRANDE VACAS GORDAS,70600000,1,618,70,CAMPO BELO DO SUL,SANTA CATARINA,BAESA,-28.02,-50.7822,2003/09/08,2012/12/31,10,6.0,6,40.0
UHE BARRA GRANDE PELOTINHAS,70610000,1,1150,70,CAPÃO ALTO,SANTA CATARINA,BAESA,-28.2883,-50.6431,2005/07/06,2012/12/31,8,12.9,2,75.0
PASSO SOCORRO,70700000,1,8440,70,VACARIA,RIO GRANDE DO SUL,ANA,-28.2108,-50.7586,1940/02/12,2005/06/30,66,5.0,59,10.6
UHE BARRA GRANDE BARRAMENTO,70840080,1,11900,70,PINHAL DA SERRA,RIO GRANDE DO SUL,BAESA,-27.78,-51.1917,1995/01/01,2014/12/31,20,0.1,19,5.0
VILA CANOAS,71200000,1,1010,71,BOCAINA DO SUL,SANTA CATARINA,ANA,-27.8028,-49.7786,1957/06/01,2019/12/31,63,0.0,62,1.6
PONTE DO RIO JOÃO PAULO,71250000,1,489,71,BOM RETIRO,SANTA CATARINA,ANA,-27.8297,-49.6269,1959/09/01,2019/12/31,61,0.1,59,3.3
RIO BONITO,71300000,1,2000,71,BOCAINA DO SUL,SANTA CATARINA,ANA,-27.7022,-49.84,1942/03/01,2019/10/31,78,0.1,73,6.4
JOANA,71320000,1,2320,71,BOCAINA DO SUL,SANTA CATARINA,ANA,-27.6675,-49.9058,1962/01/01,1965/12/31,4,0.0,4,0.0
ENCRUZILHADA,71350000,1,3230,71,OTACÍLIO COSTA,SANTA CATARINA,ANA,-27.5003,-50.1331,1951/09/29,1985/12/31,35,0.5,33,5.7
ENCRUZILHADA II,71350001,1,3230,71,OTACÍLIO COSTA,SANTA CATARINA,ANA,-27.5078,-50.1128,1984/07/01,2019/12/31,36,0.5,32,11.1
CANOAS,71380000,1,4410,71,PONTE ALTA,SANTA CATARINA,ANA,-27.5503,-50.3678,1940/04/23,1956/01/31,17,6.3,13,23.5
PONTE ALTA DO SUL,71383000,1,4610,71,PONTE ALTA,SANTA CATARINA,ANA,-27.4858,-50.3917,1956/11/01,2018/01/31,63,0.0,59,6.3
PONTE DO RIO ANTINHAS,71385000,1,30,71,SÃO CRISTOVÃO DO SU,SANTA CATARINA,ANA,-27.35,-50.4333,1958/05/27,1971/12/13,14,2.3,11,21.4
PONTE MAROMBAS,71490000,1,354,71,SÃO CRISTOVÃO DO SU,SANTA CATARINA,ANA,-27.2156,-50.4661,1959/10/01,2004/08/31,46,9.5,36,21.7
BOSSARDI GOETTEN,71491000,1,462,71,CURITIBANOS,SANTA CATARINA,ANA,-27.205,-50.5328,1969/01/01,1971/09/30,3,0.0,2,33.3
PONTE DO RIO TIMBÓ,71495000,1,261,71,LEBON REGIS,SANTA CATARINA,ANA,-27.0272,-50.6478,1959/07/09,1968/12/31,10,0.0,9,10.0
PONTE DO RIO CORRENTES,71496000,1,539,71,SANTA CECÍLIA,SANTA CATARINA,ANA,-27.0658,-50.6475,1959/04/28,1984/05/31,26,18.6,16,38.5
